time, battery, grassMean,
36754,0.593999,0.651706,
36755,0.589999,0.651571,
36756,0.585999,0.651438,
36757,0.581999,0.651304,
36758,0.577999,0.651169,
36759,0.573999,0.651036,
36760,0.569999,0.650901,
36761,0.565999,0.650733,
36762,0.561999,0.650567,
36763,0.557999,0.6504,
36764,0.553999,0.650233,
36765,0.549999,0.650068,
36766,0.545999,0.649901,
36767,0.541999,0.649735,
36768,0.537999,0.649569,
36769,0.533999,0.649403,
36770,0.529999,0.649236,
36771,0.525999,0.649071,
36772,0.521999,0.648905,
36773,0.517999,0.648738,
36774,0.513999,0.648579,
36775,0.509999,0.648413,
36776,0.505999,0.648364,
36777,0.501999,0.648199,
36778,0.497999,0.648033,
36779,0.493999,0.647866,
36780,0.489999,0.647701,
36781,0.485999,0.647534,
36782,0.481999,0.647368,
36783,0.477999,0.647202,
36784,0.473999,0.647115,
36785,0.469999,0.647139,
36786,0.465999,0.646973,
36787,0.461999,0.646997,
36788,0.457999,0.64702,
36789,0.453999,0.646854,
36790,0.449999,0.646688,
36791,0.445999,0.646522,
36792,0.441999,0.646355,
36793,0.437999,0.64619,
36794,0.433999,0.646061,
36795,0.429999,0.645895,
36796,0.425999,0.645729,
36797,0.421999,0.645641,
36798,0.417999,0.64562,
36799,0.413999,0.645599,
36800,0.409999,0.645606,
36801,0.405999,0.645584,
36802,0.401999,0.645563,
36803,0.397999,0.645542,
36804,0.393999,0.64552,
36805,0.389999,0.645689,
36806,0.385999,0.645794,
36807,0.381999,0.645962,
36808,0.377999,0.645971,
36809,0.373999,0.64614,
36810,0.369999,0.646309,
36811,0.365999,0.646478,
36812,0.361999,0.646647,
36813,0.357999,0.646815,
36814,0.353999,0.646984,
36815,0.343999,0.647153,
36816,0.333999,0.647321,
36817,0.323999,0.64749,
36818,0.313999,0.647659,
36819,0.303999,0.647828,
36820,0.293999,0.647997,
36821,0.283999,0.648166,
36822,0.273999,0.648334,
36823,0.263999,0.648503,
36824,0.253999,0.648672,
36825,0.243999,0.64884,
36826,0.233999,0.649009,
36827,0.223999,0.649178,
36828,0.213999,0.649347,
36829,0.209999,0.649326,
36830,0.205999,0.649304,
36831,0.201999,0.649283,
36832,0.197999,0.649411,
36833,0.193999,0.649389,
36834,0.189999,0.649367,
36835,0.185999,0.649345,
36836,0.181999,0.649322,
36837,0.177999,0.649298,
36838,0.173999,0.649378,
36839,0.169999,0.649354,
36840,0.165999,0.649518,
36841,0.161999,0.649682,
36842,0.157999,0.649658,
36843,0.153999,0.649633,
36844,0.149999,0.649609,
