sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;vx;vy;vz;rollRate;pitchRate;yawRate;
1653318755;766394;1653318755;766494;1653318755;766377;0.325;0.01531332;0;0;0;0.1534462;
1653318755;794089;1653318755;794162;1653318755;794069;0.325;0.0153136;0;0;0;0.1534457;
1653318755;820167;1653318755;820209;1653318755;820153;0.325;0.01531377;0;0;0;0.1534454;
1653318755;845523;1653318755;845600;1653318755;845479;0.325;0.01531387;0;0;0;0.1534452;
1653318755;870951;1653318755;871013;1653318755;870934;0.325;0.01531393;0;0;0;0.153445;
1653318755;896374;1653318755;896488;1653318755;896352;0.325;0.01531396;0;0;0;0.153445;
1653318755;921821;1653318755;921906;1653318755;921798;0.325;0.01531398;0;0;0;0.1534449;
1653318755;947501;1653318755;947561;1653318755;947484;0.325;0.015314;0;0;0;0.1534449;
1653318755;972849;1653318755;972917;1653318755;972831;0.325;0.015314;0;0;0;0.1534449;
1653318755;998178;1653318755;998251;1653318755;998159;0.325;0.01531401;0;0;0;0.1534449;
1653318756;24266;1653318756;24331;1653318756;24248;0.325;0.01531401;0;0;0;0.1534449;
1653318756;54595;1653318756;54646;1653318756;54583;0.325;0.01531401;0;0;0;0.1534449;
1653318756;80071;1653318756;80155;1653318756;80051;0.325;0.01531401;0;0;0;0.1534449;
1653318756;106304;1653318756;106381;1653318756;106281;0.325;0.01531401;0;0;0;0.1534449;
1653318756;131746;1653318756;131818;1653318756;131726;0.325;0.01531401;0;0;0;0.1534449;
1653318756;157156;1653318756;157230;1653318756;157134;0.325;0.01531401;0;0;0;0.1534449;
1653318756;182636;1653318756;182708;1653318756;182616;0.325;0.01531401;0;0;0;0.1534449;
1653318756;208080;1653318756;208159;1653318756;208056;0.325;0.01531401;0;0;0;0.1534449;
1653318756;236508;1653318756;236579;1653318756;236488;0.325;0.01531401;0;0;0;0.1534449;
1653318756;264290;1653318756;264390;1653318756;264272;0.325;0.01531401;0;0;0;0.1534449;
1653318756;290395;1653318756;290471;1653318756;290371;0.325;0.01531401;0;0;0;0.1534449;
1653318756;325130;1653318756;325193;1653318756;325110;0.325;0.01531401;0;0;0;0.1534449;
1653318756;354410;1653318756;354470;1653318756;354393;0.325;0.01531401;0;0;0;0.1534449;
1653318756;379812;1653318756;379882;1653318756;379791;0.325;0.01531401;0;0;0;0.1534449;
1653318756;405723;1653318756;405790;1653318756;405702;0.325;0.01531401;0;0;0;0.1534449;
1653318756;434801;1653318756;434897;1653318756;434781;0.325;0.01531401;0;0;0;0.1534449;
1653318756;464805;1653318756;464856;1653318756;464789;0.325;0.01531401;0;0;0;0.1534449;
1653318756;495270;1653318756;495387;1653318756;495250;0.325;0.01531401;0;0;0;0.1534449;
